	datasetoi	datasetor	goldstandardoi	goldstandardor	method	moduledef	ofinterest	ofreference	organismoi	runningtime	score	organismnetoi	organismnetor	weight
33	ecoli_colombos	yeast_dream5	ecoli_regulondb#mcl1	yeast_sisima#mcl1	dummy	interconnected	ecoli_colombos#ecoli_regulondb#mcl1	yeast_dream5#yeast_sisima#mcl1	ecoli	0.00154876708984375	0.9853759929720292	ecoli	yeast	0.0026455026455026454
34	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#mcl1	yeast_macisaac#mcl1	dummy	interconnected	ecoli_colombos#ecoli_regulondb#mcl1	yeast_gpl2529#yeast_macisaac#mcl1	ecoli	0.0015819072723388672	1.0130522436752047	ecoli	yeast	0.0026455026455026454
35	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#mcl1	yeast_sisima#mcl1	dummy	interconnected	ecoli_colombos#ecoli_regulondb#mcl1	yeast_gpl2529#yeast_sisima#mcl1	ecoli	0.00154876708984375	0.9853759929720292	ecoli	yeast	0.0026455026455026454
38	ecoli_colombos	human_gtex	ecoli_regulondb#mcl2	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#mcl2	human_gtex#regcircuit	ecoli	0.001482248306274414	0.6040253262851968	ecoli	regcircuit	0.0026455026455026454
39	ecoli_colombos	human_seek_gpl5175	ecoli_regulondb#mcl2	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#mcl2	human_seek_gpl5175#regcircuit	ecoli	0.001482248306274414	0.6040253262851968	ecoli	regcircuit	0.0026455026455026454
40	ecoli_colombos	human_tcga	ecoli_regulondb#mcl2	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#mcl2	human_tcga#regcircuit	ecoli	0.001482248306274414	0.6040253262851968	ecoli	regcircuit	0.0026455026455026454
41	ecoli_colombos	yeast_dream5	ecoli_regulondb#mcl2	yeast_macisaac#mcl2	dummy	interconnected	ecoli_colombos#ecoli_regulondb#mcl2	yeast_dream5#yeast_macisaac#mcl2	ecoli	0.001649618148803711	1.063886052572819	ecoli	yeast	0.0026455026455026454
42	ecoli_colombos	yeast_dream5	ecoli_regulondb#mcl2	yeast_sisima#mcl2	dummy	interconnected	ecoli_colombos#ecoli_regulondb#mcl2	yeast_dream5#yeast_sisima#mcl2	ecoli	0.00154876708984375	1.0443971262648108	ecoli	yeast	0.0026455026455026454
43	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#mcl2	yeast_macisaac#mcl2	dummy	interconnected	ecoli_colombos#ecoli_regulondb#mcl2	yeast_gpl2529#yeast_macisaac#mcl2	ecoli	0.001649618148803711	1.063886052572819	ecoli	yeast	0.0026455026455026454
44	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#mcl2	yeast_sisima#mcl2	dummy	interconnected	ecoli_colombos#ecoli_regulondb#mcl2	yeast_gpl2529#yeast_sisima#mcl2	ecoli	0.00154876708984375	1.0443971262648108	ecoli	yeast	0.0026455026455026454
47	ecoli_colombos	human_gtex	ecoli_regulondb#mcl3	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#mcl3	human_gtex#regcircuit	ecoli	0.001482248306274414	0.8317542781790761	ecoli	regcircuit	0.0026455026455026454
48	ecoli_colombos	human_seek_gpl5175	ecoli_regulondb#mcl3	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#mcl3	human_seek_gpl5175#regcircuit	ecoli	0.001482248306274414	0.8317542781790761	ecoli	regcircuit	0.0026455026455026454
49	ecoli_colombos	human_tcga	ecoli_regulondb#mcl3	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#mcl3	human_tcga#regcircuit	ecoli	0.001482248306274414	0.8317542781790761	ecoli	regcircuit	0.0026455026455026454
50	ecoli_colombos	yeast_dream5	ecoli_regulondb#mcl3	yeast_macisaac#mcl3	dummy	interconnected	ecoli_colombos#ecoli_regulondb#mcl3	yeast_dream5#yeast_macisaac#mcl3	ecoli	0.0015819072723388672	1.0066402047023355	ecoli	yeast	0.0026455026455026454
51	ecoli_colombos	yeast_dream5	ecoli_regulondb#mcl3	yeast_sisima#mcl3	dummy	interconnected	ecoli_colombos#ecoli_regulondb#mcl3	yeast_dream5#yeast_sisima#mcl3	ecoli	0.00154876708984375	0.9791340837613434	ecoli	yeast	0.0026455026455026454
52	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#mcl3	yeast_macisaac#mcl3	dummy	interconnected	ecoli_colombos#ecoli_regulondb#mcl3	yeast_gpl2529#yeast_macisaac#mcl3	ecoli	0.0015819072723388672	1.0066402047023355	ecoli	yeast	0.0026455026455026454
53	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#mcl3	yeast_sisima#mcl3	dummy	interconnected	ecoli_colombos#ecoli_regulondb#mcl3	yeast_gpl2529#yeast_sisima#mcl3	ecoli	0.00154876708984375	0.9791340837613434	ecoli	yeast	0.0026455026455026454
56	ecoli_colombos	human_gtex	ecoli_regulondb#minimal	regcircuit	dummy	minimal	ecoli_colombos#ecoli_regulondb#minimal	human_gtex#regcircuit	ecoli	0.001482248306274414	0.5609313705730583	ecoli	regcircuit	0.023809523809523808
57	ecoli_colombos	human_seek_gpl5175	ecoli_regulondb#minimal	regcircuit	dummy	minimal	ecoli_colombos#ecoli_regulondb#minimal	human_seek_gpl5175#regcircuit	ecoli	0.001482248306274414	0.5609313705730583	ecoli	regcircuit	0.023809523809523808
58	ecoli_colombos	human_tcga	ecoli_regulondb#minimal	regcircuit	dummy	minimal	ecoli_colombos#ecoli_regulondb#minimal	human_tcga#regcircuit	ecoli	0.001482248306274414	0.5609313705730583	ecoli	regcircuit	0.023809523809523808
59	ecoli_colombos	yeast_dream5	ecoli_regulondb#minimal	yeast_macisaac#minimal	dummy	minimal	ecoli_colombos#ecoli_regulondb#minimal	yeast_dream5#yeast_macisaac#minimal	ecoli	0.001649618148803711	0.7907487124256387	ecoli	yeast	0.023809523809523808
60	ecoli_colombos	yeast_dream5	ecoli_regulondb#minimal	yeast_sisima#minimal	dummy	minimal	ecoli_colombos#ecoli_regulondb#minimal	yeast_dream5#yeast_sisima#minimal	ecoli	0.00154876708984375	0.7531511755333875	ecoli	yeast	0.023809523809523808
61	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#minimal	yeast_macisaac#minimal	dummy	minimal	ecoli_colombos#ecoli_regulondb#minimal	yeast_gpl2529#yeast_macisaac#minimal	ecoli	0.00154876708984375	0.7531511755333875	ecoli	yeast	0.023809523809523808
62	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#minimal	yeast_sisima#minimal	dummy	minimal	ecoli_colombos#ecoli_regulondb#minimal	yeast_gpl2529#yeast_sisima#minimal	ecoli	0.00154876708984375	0.7531511755333875	ecoli	yeast	0.023809523809523808
65	ecoli_colombos	human_gtex	ecoli_regulondb#strict	regcircuit	dummy	strict	ecoli_colombos#ecoli_regulondb#strict	human_gtex#regcircuit	ecoli	0.001482248306274414	0.38858847724902573	ecoli	regcircuit	0.023809523809523808
66	ecoli_colombos	human_seek_gpl5175	ecoli_regulondb#strict	regcircuit	dummy	strict	ecoli_colombos#ecoli_regulondb#strict	human_seek_gpl5175#regcircuit	ecoli	0.001482248306274414	0.38858847724902573	ecoli	regcircuit	0.023809523809523808
67	ecoli_colombos	human_tcga	ecoli_regulondb#strict	regcircuit	dummy	strict	ecoli_colombos#ecoli_regulondb#strict	human_tcga#regcircuit	ecoli	0.001482248306274414	0.38858847724902573	ecoli	regcircuit	0.023809523809523808
68	ecoli_colombos	yeast_dream5	ecoli_regulondb#strict	yeast_macisaac#strict	dummy	strict	ecoli_colombos#ecoli_regulondb#strict	yeast_dream5#yeast_macisaac#strict	ecoli	0.001649618148803711	1.0153426844030926	ecoli	yeast	0.023809523809523808
69	ecoli_colombos	yeast_dream5	ecoli_regulondb#strict	yeast_sisima#strict	dummy	strict	ecoli_colombos#ecoli_regulondb#strict	yeast_dream5#yeast_sisima#strict	ecoli	0.00154876708984375	0.9145258344938256	ecoli	yeast	0.023809523809523808
70	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#strict	yeast_macisaac#strict	dummy	strict	ecoli_colombos#ecoli_regulondb#strict	yeast_gpl2529#yeast_macisaac#strict	ecoli	0.001649618148803711	1.0153426844030926	ecoli	yeast	0.023809523809523808
71	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#strict	yeast_sisima#strict	dummy	strict	ecoli_colombos#ecoli_regulondb#strict	yeast_gpl2529#yeast_sisima#strict	ecoli	0.00154876708984375	0.9145258344938256	ecoli	yeast	0.023809523809523808
74	ecoli_colombos	human_gtex	ecoli_regulondb#tc1	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#tc1	human_gtex#regcircuit	ecoli	0.001482248306274414	0.7164231469393613	ecoli	regcircuit	0.0026455026455026454
75	ecoli_colombos	human_seek_gpl5175	ecoli_regulondb#tc1	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#tc1	human_seek_gpl5175#regcircuit	ecoli	0.001482248306274414	0.7164231469393613	ecoli	regcircuit	0.0026455026455026454
76	ecoli_colombos	human_tcga	ecoli_regulondb#tc1	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#tc1	human_tcga#regcircuit	ecoli	0.001482248306274414	0.7164231469393613	ecoli	regcircuit	0.0026455026455026454
77	ecoli_colombos	yeast_dream5	ecoli_regulondb#tc1	yeast_macisaac#tc1	dummy	interconnected	ecoli_colombos#ecoli_regulondb#tc1	yeast_dream5#yeast_macisaac#tc1	ecoli	0.0015819072723388672	0.91301162138014	ecoli	yeast	0.0026455026455026454
78	ecoli_colombos	yeast_dream5	ecoli_regulondb#tc1	yeast_sisima#tc1	dummy	interconnected	ecoli_colombos#ecoli_regulondb#tc1	yeast_dream5#yeast_sisima#tc1	ecoli	0.00154876708984375	0.8536320300202328	ecoli	yeast	0.0026455026455026454
79	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#tc1	yeast_macisaac#tc1	dummy	interconnected	ecoli_colombos#ecoli_regulondb#tc1	yeast_gpl2529#yeast_macisaac#tc1	ecoli	0.0015819072723388672	0.91301162138014	ecoli	yeast	0.0026455026455026454
80	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#tc1	yeast_sisima#tc1	dummy	interconnected	ecoli_colombos#ecoli_regulondb#tc1	yeast_gpl2529#yeast_sisima#tc1	ecoli	0.00154876708984375	0.8536320300202328	ecoli	yeast	0.0026455026455026454
83	ecoli_colombos	human_gtex	ecoli_regulondb#tc2	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#tc2	human_gtex#regcircuit	ecoli	0.001482248306274414	0.2905750518358049	ecoli	regcircuit	0.0026455026455026454
84	ecoli_colombos	human_seek_gpl5175	ecoli_regulondb#tc2	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#tc2	human_seek_gpl5175#regcircuit	ecoli	0.001482248306274414	0.2905750518358049	ecoli	regcircuit	0.0026455026455026454
85	ecoli_colombos	human_tcga	ecoli_regulondb#tc2	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#tc2	human_tcga#regcircuit	ecoli	0.001482248306274414	0.2905750518358049	ecoli	regcircuit	0.0026455026455026454
86	ecoli_colombos	yeast_dream5	ecoli_regulondb#tc2	yeast_macisaac#tc2	dummy	interconnected	ecoli_colombos#ecoli_regulondb#tc2	yeast_dream5#yeast_macisaac#tc2	ecoli	0.00154876708984375	0.4775800343506942	ecoli	yeast	0.0026455026455026454
87	ecoli_colombos	yeast_dream5	ecoli_regulondb#tc2	yeast_sisima#tc2	dummy	interconnected	ecoli_colombos#ecoli_regulondb#tc2	yeast_dream5#yeast_sisima#tc2	ecoli	0.00154876708984375	0.4775800343506942	ecoli	yeast	0.0026455026455026454
88	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#tc2	yeast_macisaac#tc2	dummy	interconnected	ecoli_colombos#ecoli_regulondb#tc2	yeast_gpl2529#yeast_macisaac#tc2	ecoli	0.00154876708984375	0.4775800343506942	ecoli	yeast	0.0026455026455026454
89	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#tc2	yeast_sisima#tc2	dummy	interconnected	ecoli_colombos#ecoli_regulondb#tc2	yeast_gpl2529#yeast_sisima#tc2	ecoli	0.00154876708984375	0.4775800343506942	ecoli	yeast	0.0026455026455026454
92	ecoli_colombos	human_gtex	ecoli_regulondb#tc3	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#tc3	human_gtex#regcircuit	ecoli	0.001482248306274414	0.7216803229203391	ecoli	regcircuit	0.0026455026455026454
93	ecoli_colombos	human_seek_gpl5175	ecoli_regulondb#tc3	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#tc3	human_seek_gpl5175#regcircuit	ecoli	0.001482248306274414	0.7216803229203391	ecoli	regcircuit	0.0026455026455026454
94	ecoli_colombos	human_tcga	ecoli_regulondb#tc3	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#tc3	human_tcga#regcircuit	ecoli	0.001482248306274414	0.7216803229203391	ecoli	regcircuit	0.0026455026455026454
95	ecoli_colombos	yeast_dream5	ecoli_regulondb#tc3	yeast_macisaac#tc3	dummy	interconnected	ecoli_colombos#ecoli_regulondb#tc3	yeast_dream5#yeast_macisaac#tc3	ecoli	0.0015819072723388672	0.9201793039183112	ecoli	yeast	0.0026455026455026454
96	ecoli_colombos	yeast_dream5	ecoli_regulondb#tc3	yeast_sisima#tc3	dummy	interconnected	ecoli_colombos#ecoli_regulondb#tc3	yeast_dream5#yeast_sisima#tc3	ecoli	0.00154876708984375	0.8604797662217745	ecoli	yeast	0.0026455026455026454
97	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#tc3	yeast_macisaac#tc3	dummy	interconnected	ecoli_colombos#ecoli_regulondb#tc3	yeast_gpl2529#yeast_macisaac#tc3	ecoli	0.0015819072723388672	0.9201793039183112	ecoli	yeast	0.0026455026455026454
98	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#tc3	yeast_sisima#tc3	dummy	interconnected	ecoli_colombos#ecoli_regulondb#tc3	yeast_gpl2529#yeast_sisima#tc3	ecoli	0.00154876708984375	0.8604797662217745	ecoli	yeast	0.0026455026455026454
101	ecoli_dream5	human_gtex	ecoli_regulondb#ap1	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#ap1	human_gtex#regcircuit	ecoli	0.002490043640136719	0.9033732645870992	ecoli	regcircuit	0.0026455026455026454
102	ecoli_dream5	human_seek_gpl5175	ecoli_regulondb#ap1	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#ap1	human_seek_gpl5175#regcircuit	ecoli	0.002490043640136719	0.9033732645870992	ecoli	regcircuit	0.0026455026455026454
103	ecoli_dream5	human_tcga	ecoli_regulondb#ap1	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#ap1	human_tcga#regcircuit	ecoli	0.002490043640136719	0.9033732645870992	ecoli	regcircuit	0.0026455026455026454
104	ecoli_dream5	yeast_dream5	ecoli_regulondb#ap1	yeast_macisaac#ap1	dummy	interconnected	ecoli_dream5#ecoli_regulondb#ap1	yeast_dream5#yeast_macisaac#ap1	ecoli	0.002490043640136719	0.9033732645870992	ecoli	yeast	0.0026455026455026454
105	ecoli_dream5	yeast_dream5	ecoli_regulondb#ap1	yeast_sisima#ap1	dummy	interconnected	ecoli_dream5#ecoli_regulondb#ap1	yeast_dream5#yeast_sisima#ap1	ecoli	0.0022745132446289067	0.8222131080712474	ecoli	yeast	0.0026455026455026454
106	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#ap1	yeast_macisaac#ap1	dummy	interconnected	ecoli_dream5#ecoli_regulondb#ap1	yeast_gpl2529#yeast_macisaac#ap1	ecoli	0.002490043640136719	0.9033732645870992	ecoli	yeast	0.0026455026455026454
107	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#ap1	yeast_sisima#ap1	dummy	interconnected	ecoli_dream5#ecoli_regulondb#ap1	yeast_gpl2529#yeast_sisima#ap1	ecoli	0.0022745132446289067	0.8222131080712474	ecoli	yeast	0.0026455026455026454
110	ecoli_dream5	human_gtex	ecoli_regulondb#ap2	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#ap2	human_gtex#regcircuit	ecoli	0.002490043640136719	0.04574441512398853	ecoli	regcircuit	0.0026455026455026454
111	ecoli_dream5	human_seek_gpl5175	ecoli_regulondb#ap2	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#ap2	human_seek_gpl5175#regcircuit	ecoli	0.002490043640136719	0.04574441512398853	ecoli	regcircuit	0.0026455026455026454
112	ecoli_dream5	human_tcga	ecoli_regulondb#ap2	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#ap2	human_tcga#regcircuit	ecoli	0.002490043640136719	0.04574441512398853	ecoli	regcircuit	0.0026455026455026454
113	ecoli_dream5	yeast_dream5	ecoli_regulondb#ap2	yeast_macisaac#ap2	dummy	interconnected	ecoli_dream5#ecoli_regulondb#ap2	yeast_dream5#yeast_macisaac#ap2	ecoli	0.0022745132446289067	0.1792729999123512	ecoli	yeast	0.0026455026455026454
114	ecoli_dream5	yeast_dream5	ecoli_regulondb#ap2	yeast_sisima#ap2	dummy	interconnected	ecoli_dream5#ecoli_regulondb#ap2	yeast_dream5#yeast_sisima#ap2	ecoli	0.0022745132446289067	0.1792729999123512	ecoli	yeast	0.0026455026455026454
115	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#ap2	yeast_macisaac#ap2	dummy	interconnected	ecoli_dream5#ecoli_regulondb#ap2	yeast_gpl2529#yeast_macisaac#ap2	ecoli	0.0022745132446289067	0.1792729999123512	ecoli	yeast	0.0026455026455026454
116	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#ap2	yeast_sisima#ap2	dummy	interconnected	ecoli_dream5#ecoli_regulondb#ap2	yeast_gpl2529#yeast_sisima#ap2	ecoli	0.0022745132446289067	0.1792729999123512	ecoli	yeast	0.0026455026455026454
119	ecoli_dream5	human_gtex	ecoli_regulondb#ap3	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#ap3	human_gtex#regcircuit	ecoli	0.002490043640136719	0.9515518663398338	ecoli	regcircuit	0.0026455026455026454
120	ecoli_dream5	human_seek_gpl5175	ecoli_regulondb#ap3	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#ap3	human_seek_gpl5175#regcircuit	ecoli	0.002490043640136719	0.9515518663398338	ecoli	regcircuit	0.0026455026455026454
121	ecoli_dream5	human_tcga	ecoli_regulondb#ap3	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#ap3	human_tcga#regcircuit	ecoli	0.002490043640136719	0.9515518663398338	ecoli	regcircuit	0.0026455026455026454
122	ecoli_dream5	yeast_dream5	ecoli_regulondb#ap3	yeast_macisaac#ap3	dummy	interconnected	ecoli_dream5#ecoli_regulondb#ap3	yeast_dream5#yeast_macisaac#ap3	ecoli	0.002490043640136719	0.9515518663398338	ecoli	yeast	0.0026455026455026454
123	ecoli_dream5	yeast_dream5	ecoli_regulondb#ap3	yeast_sisima#ap3	dummy	interconnected	ecoli_dream5#ecoli_regulondb#ap3	yeast_dream5#yeast_sisima#ap3	ecoli	0.0022745132446289067	0.9008483979816808	ecoli	yeast	0.0026455026455026454
124	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#ap3	yeast_macisaac#ap3	dummy	interconnected	ecoli_dream5#ecoli_regulondb#ap3	yeast_gpl2529#yeast_macisaac#ap3	ecoli	0.0017955303192138672	1.0950412124332471	ecoli	yeast	0.0026455026455026454
125	ecoli_dream5	yeast_gpl2529	ecoli_regulondb#ap3	yeast_sisima#ap3	dummy	interconnected	ecoli_dream5#ecoli_regulondb#ap3	yeast_gpl2529#yeast_sisima#ap3	ecoli	0.0022745132446289067	0.9008483979816808	ecoli	yeast	0.0026455026455026454
128	ecoli_dream5	human_gtex	ecoli_regulondb#mcl1	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#mcl1	human_gtex#regcircuit	ecoli	0.002490043640136719	0.9299239497432108	ecoli	regcircuit	0.0026455026455026454
129	ecoli_dream5	human_seek_gpl5175	ecoli_regulondb#mcl1	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#mcl1	human_seek_gpl5175#regcircuit	ecoli	0.002490043640136719	0.9299239497432108	ecoli	regcircuit	0.0026455026455026454
130	ecoli_dream5	human_tcga	ecoli_regulondb#mcl1	regcircuit	dummy	interconnected	ecoli_dream5#ecoli_regulondb#mcl1	human_tcga#regcircuit	ecoli	0.002490043640136719	0.9299239497432108	ecoli	regcircuit	0.0026455026455026454
